Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2014-10-09,20:00 (15:00),Friendlies (M),Friendlies (M),Thu,Home,W,4,0,cf CAR,,,,"31,728",Medhi Benatia,4-2-3-1,Abou Coulibaly
2014-10-13,20:00 (15:00),Friendlies (M),Friendlies (M),Mon,Home,W,3,0,ke Kenya,,,,,Medhi Benatia,,Malang Diédhiou
2014-11-13,20:00 (15:00),Friendlies (M),Friendlies (M),Thu,Home,W,6,1,bj Benin,,,,"15,000",Medhi Benatia,4-2-3-1,Mohamed Farouk
2014-11-16,20:00 (15:00),Friendlies (M),Friendlies (M),Sun,Home,W,2,1,zw Zimbabwe,,,,,Marouane Chamakh,,Yves Roponat
2013-01-19,21:00 (14:00),Africa Cup of Nations,Group stage,Sat,Away,D,0,0,ao Angola,,,,"25,000",,,Badara Diatta
2013-01-23,20:00 (13:00),Africa Cup of Nations,Group stage,Wed,Home,D,1,1,cv Cape Verde,,,,"25,000",,,Janny Sikazwe
2013-01-27,19:00 (12:00),Africa Cup of Nations,Group stage,Sun,Home,D,2,2,za South Africa,,,,"45,000",,,Bakary Papa Gassama
2013-03-24,15:00 (08:00),WCQ,Second round,Sun,Away,L,1,3,tz Tanzania,,,,"40,000",Nadir Lamyaghri,,Hélder Martins
2013-06-08,21:00 (16:00),WCQ,Second round,Sat,Home,W,2,1,tz Tanzania,,,,"15,000",,,Daniel Bennett
2013-06-15,21:00 (16:00),WCQ,Second round,Sat,Home,W,2,0,gm Gambia,,,,"15,000",Ahmed Kantari,,El Fadil Mohamed Hussein
2013-09-07,17:00 (13:00),WCQ,Second round,Sat,Away,D,1,1,ci Côte d'Ivoire,,,,"20,000",Issam El Adoua,,Bernard Camille
2012-01-23,20:00 (14:00),Africa Cup of Nations,Group stage,Mon,Home,L,1,2,tn Tunisia,,,,"18,000",Houssine Kharja,,Daniel Bennett
2012-01-27,20:00 (14:00),Africa Cup of Nations,Group stage,Fri,Away,L,2,3,ga Gabon,,,,"35,000",Houssine Kharja,,Bakary Papa Gassama
2012-01-31,19:00 (13:00),Africa Cup of Nations,Group stage,Tue,Away,W,1,0,ne Niger,,,,"4,000",Houssine Kharja,,Hamada Nampiandraza
2012-06-02,16:30 (12:30),WCQ,Second round,Sat,Away,D,1,1,gm Gambia,,,,"15,000",,,Alioum Alioum
2012-06-09,21:00 (16:00),WCQ,Second round,Sat,Home,D,2,2,ci Côte d'Ivoire,,,,"36,000",Houssine Kharja,,Gehad Grisha
2008-05-31,19:00 (15:00),WCQ,Second round,Sat,Home,D,,,et Ethiopia,,,,,,,
2008-06-07,17:00 (13:00),WCQ,Second round,Sat,Away,W,4,1,mr Mauritania,,,,"9,500",,,
2008-06-14,15:30 (09:30),WCQ,Second round,Sat,Away,L,1,3,rw Rwanda,,,,"12,000",,,
2008-06-21,19:00 (14:00),WCQ,Second round,Sat,Home,W,2,0,rw Rwanda,,,,"2,500",,,
2008-09-07,16:00 (09:00),WCQ,Second round,Sun,Away,D,,,et Ethiopia,,,,,,,
2008-10-11,19:30 (15:30),WCQ,Second round,Sat,Home,W,4,1,mr Mauritania,,,,"1,472",,,
2009-03-29,19:00 (15:00),WCQ,Third round,Sun,Home,L,1,2,ga Gabon,,,,"38,000",,,
2009-06-07,15:30 (10:30),WCQ,Third round,Sun,Away,D,0,0,cm Cameroon,,,,"35,000",,,
2009-06-20,19:00 (14:00),WCQ,Third round,Sat,Home,D,0,0,tg Togo,,,,"22,000",,,
2009-09-06,15:30 (11:30),WCQ,Third round,Sun,Away,D,1,1,tg Togo,,,,"24,651",,,
2009-10-10,15:30 (10:30),WCQ,Third round,Sat,Away,L,1,3,ga Gabon,,,,"14,000",,,
2009-11-14,15:30 (10:30),WCQ,Third round,Sat,Home,L,0,2,cm Cameroon,,,,"17,000",,,
